#peak_xpix[arcmin] peak_ypix cluster_xpix cluster_ypix SN coresize[arcmin] M500c redshift nmatch
7.331543 370.480957 7.495020 370.581123 5.726060 0.250000 1.92288e+14 0.672407 1
17.233887 148.630371 17.467320 149.354397 4.614209 0.250000 8.31231e+13 1.084115 1
19.328613 410.471191 19.312020 410.360355 5.876718 0.250000 2.00495e+14 0.445582 1
36.086426 497.687988 36.805079 497.787434 5.420013 0.250000 2.12741e+14 0.479062 1
39.514160 358.674316 39.755821 358.242293 4.726980 0.250000 1.75024e+14 0.676083 1
41.037598 62.556152 41.384460 62.824322 4.910235 0.250000 1.77833e+14 0.386781 1
45.607910 447.985840 45.952140 447.981284 6.272611 0.250000 3.73841e+14 0.567447 1
65.793457 50.559082 65.703298 50.738220 5.788783 0.250000 1.91328e+14 0.962059 1
105.021973 69.411621 105.296099 69.227340 5.828725 0.250000 3.14947e+14 0.477414 1
114.733887 336.774902 114.043800 336.947526 4.525216 0.250000 9.14004e+13 1.025544 1
194.523926 497.307129 194.459465 497.551070 4.856333 0.250000 1.08528e+14 1.497963 1
198.332520 270.886230 198.582551 270.935349 5.096835 0.250000 1.79096e+14 1.364007 1
199.855957 200.046387 200.332078 200.101200 4.670507 0.250000 1.4045e+14 0.811784 1
204.997559 485.690918 205.242174 485.805845 6.579428 0.250000 2.88218e+14 0.788640 1
205.949707 160.437012 206.409835 160.667517 10.901100 0.250000 4.0967e+14 0.657461 1
213.186035 477.883301 213.606110 477.637686 4.873657 0.250000 1.11152e+14 1.360306 1
224.611816 431.037598 224.551866 430.846238 4.510598 0.250000 1.47126e+14 0.869874 1
277.360840 364.006348 277.939730 364.275604 4.526947 0.250000 1.71837e+14 1.065681 1
341.154785 608.327637 340.916167 608.909340 4.636527 0.250000 8.61837e+13 1.406324 1
397.521973 663.552246 397.807803 663.354099 4.713919 0.250000 1.83065e+14 0.668110 1
419.611816 164.245605 419.739064 164.399818 6.221906 0.250000 2.01077e+14 0.498512 1
445.510254 348.010254 445.813658 347.868292 6.365296 0.250000 3.12053e+14 0.787614 1
451.032715 554.245605 451.148107 553.711882 5.374143 0.250000 2.06564e+14 0.748200 1
457.507324 111.496582 457.716490 111.565738 8.188463 0.250000 3.18586e+14 0.911583 1
494.641113 633.083496 494.678353 632.865497 9.811329 0.250000 3.68497e+14 0.557749 1
497.307129 694.973145 497.486354 694.515899 6.571322 0.250000 2.33666e+14 0.462335 1
524.919434 625.847168 524.532856 625.249565 7.252598 0.250000 2.4946e+14 0.428716 1
533.679199 461.125488 533.185365 460.683585 4.727890 0.250000 2.50437e+14 0.376565 1
565.480957 165.197754 564.736394 164.879519 5.094144 0.250000 1.46288e+14 0.720616 1
595.187988 475.026855 595.049536 474.771198 4.666569 0.250000 1.43687e+14 0.764573 1
614.230957 502.639160 613.539441 502.395637 5.691472 0.250000 1.9267e+14 0.680113 1
643.366699 312.590332 642.793318 312.375169 4.660382 0.250000 9.31106e+13 0.811519 1
668.312988 597.092285 667.954538 596.889535 6.824852 0.250000 1.79979e+14 0.426515 1
670.407715 310.876465 669.976319 310.831554 5.039659 0.250000 2.03731e+14 1.150552 1
683.356934 496.545410 683.065478 496.332711 6.383801 0.250000 3.17856e+14 0.873143 1
697.829590 447.033691 697.412839 447.276982 10.521425 0.250000 4.35125e+14 0.984629 1
698.781738 58.176270 698.608557 57.936838 7.365391 0.250000 2.50885e+14 0.729389 1
698.781738 58.176270 698.588287 58.790941 7.365391 0.250000 7.25694e+13 1.414606 2
710.207520 642.224121 709.722798 642.057774 4.770106 0.250000 1.4408e+14 0.495933 1
739.152832 241.369629 738.277023 241.240731 4.993453 0.250000 2.05702e+14 0.284278 1
756.291504 473.693848 756.092241 473.802406 4.737455 0.250000 2.53915e+14 0.645645 1
770.192871 403.806152 769.955950 403.467461 5.951149 0.250000 2.18061e+14 0.933107 1
79.694824 660.505371 80.226898 659.885452 5.048100 0.500000 1.78071e+14 1.033544 1
85.598145 612.517090 86.061300 612.009076 7.989839 0.500000 3.54607e+14 0.542963 1
85.788574 210.329590 85.742280 210.319199 5.030025 0.500000 1.40145e+14 0.840104 1
118.161621 756.862793 118.737060 757.064102 8.121613 0.500000 3.4723e+14 0.774731 1
163.864746 181.193848 163.968481 181.499762 8.129544 0.500000 2.96855e+14 0.754114 1
220.803223 488.166504 220.633923 487.655979 5.943515 0.500000 2.02285e+14 1.078343 1
296.403809 413.327637 296.272075 413.386728 6.303525 0.500000 3.2474e+14 0.551825 1
329.919434 193.952637 329.920503 194.199716 8.682024 0.500000 2.88053e+14 0.264186 1
381.145020 115.305176 381.650872 115.818304 7.627274 0.500000 3.13583e+14 0.994386 1
406.853027 161.770020 406.681845 162.042658 4.739624 0.500000 1.99736e+14 0.563499 1
444.558105 685.451660 444.478326 685.138725 7.204892 0.500000 2.34287e+14 0.928938 1
516.159668 386.857910 516.569027 386.368330 4.772764 0.500000 1.83879e+14 0.336066 1
560.339355 75.695801 559.706930 76.046098 5.962669 0.500000 1.82313e+14 0.942118 1
622.038574 520.920410 621.852654 520.910507 7.014455 0.500000 2.29308e+14 0.835299 1
682.785645 258.317871 682.496095 258.530989 5.553892 0.500000 1.84653e+14 0.285066 1
695.354004 599.948730 695.162505 599.653881 4.594568 0.500000 1.77365e+14 1.085647 1
714.016113 537.487793 713.943354 536.844349 4.879860 0.500000 1.44091e+14 1.080879 1
718.205566 573.098145 717.784073 573.273464 5.295087 0.500000 2.15685e+14 0.572199 1
744.484863 247.463379 743.890700 247.568101 6.380288 0.500000 2.12173e+14 0.876682 1
214.899902 266.125488 214.957087 266.078276 7.673896 0.750000 2.70979e+14 0.754854 1
376.955566 698.020020 377.045760 697.639021 8.659052 0.750000 3.21123e+14 0.903963 1
557.863770 745.246582 557.988600 744.644144 4.629063 0.750000 2.27322e+14 0.592630 1
360.007324 516.350098 359.957508 516.458284 5.539017 1.000000 3.12643e+14 0.552688 1
403.425293 681.262207 403.882445 681.015662 4.786797 1.000000 1.31335e+14 1.570803 1
582.619629 297.927246 582.021189 297.775916 4.825657 1.000000 1.72577e+14 1.125887 1
650.412598 666.218262 650.305481 666.164471 6.463608 1.000000 3.02948e+14 0.402344 1
677.263184 111.115723 676.715512 111.037675 4.833890 1.000000 1.7985e+14 0.736185 1
739.914551 716.491699 739.586645 716.163236 5.600074 1.000000 2.09445e+14 0.319106 1
310.876465 464.934082 311.099880 465.616300 32.847168 1.250000 8.58057e+14 0.273823 1
365.339355 518.825684 365.479923 518.821685 9.659186 1.250000 4.25843e+14 0.554796 1
388.190918 651.364746 388.256704 651.222761 10.040706 1.250000 3.75492e+14 0.669936 1
192.810059 6.188965 193.022700 6.427200 6.286343 1.500000 2.63077e+14 0.302456 1
591.760254 532.536621 591.606599 532.470138 13.130447 1.500000 4.98691e+14 0.271272 1
27.517090 401.140137 27.786721 401.271011 5.990551 1.750000 2.67219e+14 0.569478 1
30.754395 35.895996 30.993300 36.111659 12.697931 1.750000 4.55759e+14 0.296365 1
496.354980 625.656738 496.327271 624.995302 9.082750 1.750000 3.5077e+14 0.396529 1
132.634277 382.858887 132.579719 382.761603 4.513558 2.250000 1.91328e+14 0.808540 1
101.022949 353.151855 102.470164 353.407862 4.579385 3.000000 7.93374e+13 0.621488 1
239.465332 388.000488 237.906235 389.309692 4.846810 3.000000 8.61525e+13 0.822106 1
343.630371 681.071777 343.534622 680.411178 5.225839 3.000000 1.67833e+14 0.453717 1
613.659668 244.797363 613.601042 245.569729 4.651164 3.000000 8.70526e+13 0.297043 1
613.659668 244.797363 613.189963 245.531513 4.651164 3.000000 6.6905e+13 0.777815 2
733.059082 205.568848 733.905137 206.709357 5.078240 3.000000 5.43311e+13 0.703011 1
36.657715 497.878418 36.805079 497.787434 4.579695 0.250000 2.12741e+14 0.479062 1
65.603027 50.559082 65.703298 50.738220 4.934229 0.250000 1.91328e+14 0.962059 1
98.737793 615.373535 99.317404 614.994907 5.388476 0.250000 1.35028e+14 0.538557 1
100.642090 507.971191 101.440560 507.780762 4.750659 0.250000 1.44245e+14 0.591069 1
118.161621 757.243652 118.737060 757.064102 7.206596 0.250000 3.4723e+14 0.774731 1
163.293457 236.799316 163.604219 236.651217 4.661623 0.250000 2.09343e+14 0.837105 1
163.864746 181.384277 163.968481 181.499762 8.057889 0.250000 2.96855e+14 0.754114 1
178.337402 233.752441 178.481945 234.134161 4.594664 0.250000 8.98298e+13 1.275861 1
190.715332 599.948730 190.989237 599.908934 5.363529 0.250000 2.06763e+14 0.762660 1
204.997559 485.690918 205.242174 485.805845 6.556065 0.250000 2.88218e+14 0.788640 1
219.089355 470.075684 219.284527 469.869679 5.088680 0.250000 1.43299e+14 1.370762 1
226.325684 442.653809 226.760032 442.670267 5.002872 0.250000 1.95037e+14 0.688523 1
242.131348 292.214355 242.445050 292.718394 4.622528 0.250000 1.6016e+14 1.565676 1
248.986816 77.790527 249.719338 77.900939 4.688828 0.250000 1.37513e+14 1.379939 1
296.213379 413.708496 296.272075 413.386728 6.925127 0.250000 3.2474e+14 0.551825 1
310.876465 506.447754 311.725448 506.577233 6.011922 0.250000 3.35856e+14 0.556871 1
311.447754 111.496582 311.190353 111.607860 4.702893 0.250000 1.28998e+14 0.841235 1
328.586426 682.595215 328.631941 682.620134 5.061539 0.250000 1.53394e+14 1.209555 1
359.816895 516.540527 359.957508 516.458284 4.835216 0.250000 3.12643e+14 0.552688 1
414.470215 701.447754 414.757208 701.333106 5.185345 0.250000 2.23038e+14 0.820084 1
416.564941 147.297363 416.455268 147.684418 4.827479 0.250000 1.66825e+14 0.573235 1
436.369629 229.753418 436.664293 229.847285 6.660743 0.250000 1.95385e+14 0.991107 1
437.131348 129.016113 437.113541 128.962857 5.798429 0.250000 1.63623e+14 1.117089 1
444.748535 685.451660 444.478326 685.138725 7.034471 0.250000 2.34287e+14 0.928938 1
458.459473 382.478027 458.136914 382.484699 4.504737 0.250000 1.60158e+14 0.792471 1
494.450684 632.893066 494.678353 632.865497 10.406373 0.250000 3.68497e+14 0.557749 1
613.278809 502.258301 613.132267 501.952618 5.274575 0.250000 7.86596e+13 0.608951 1
613.278809 502.258301 613.539441 502.395637 5.274575 0.250000 1.9267e+14 0.680113 2
621.848145 520.729980 621.852654 520.910507 5.586271 0.250000 2.29308e+14 0.835299 1
628.703613 667.932129 629.145656 667.850815 4.806693 0.250000 1.40073e+14 0.460269 1
677.072754 110.734863 676.715512 111.037675 5.360365 0.250000 1.7985e+14 0.736185 1
692.878418 89.025879 693.228918 88.227362 5.118576 0.250000 7.88799e+13 1.749210 1
